Name,Address,Phone Number,Website,Latitude,Longitude
Zenith arte e saude odontologia alphaville dentista,"Alameda Madeira, 258 - Alphaville Industrial, Barueri - SP, 06454-010",(11) 96026-1306,https://zenith-arte-e-saude-odontologia-alphaville.negocio.site/?utm_source=gmb&utm_medium=referral,-23.495161,-46.851292
OdontoCompany Freguesia do �,"Av. Itaberaba, 3654 - Itaberaba, São Paulo - SP, 02739-000",(11) 3989-8637,https://odontocompany.com/saopaulofreguesiadoo,-23.477764999999998,-46.681644
Consult�rio odontologico,"Av. Mutinga, 1914 - Vila Pirituba, São Paulo - SP, 05110-000",0,0,-23.484194799999997,-46.744109099999996
Cl�nica E.R.M Odontologia,"R. Maria Lúcia Duarte, 98 - Vila Pirituba, São Paulo - SP, 05172-000",(11) 3903-8205,http://www.ermodonto.com.br/,-23.4831249,-46.741761
Dentista Pirituba,"Av. Santa Mônica, 644 - Jardim Santa Monica, São Paulo - SP, 05171-000",(11) 98997-7609,http://www.dentistapirituba.com.br/,-23.4780664,-46.7476698
Dr. F�bio Saigh - Dentista,"Av. Mutinga, 2050 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 3904-2133,https://www.instagram.com/saighclinica/,-23.484762399999997,-46.7450301
Odontologia Dra. Iara Regina Passos Toledo,"Av. Mutinga, 1451 - Sala 02 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3906-6539,0,-23.485504,-46.740480600000005
Estrela Cadente Odontologia Integrada,"Av. Agenor Couto de Magalhães, 71 - Jardim Regina, São Paulo - SP, 02675-031",(11) 2369-3894,0,-23.4844948,-46.740917
Dra.Daniela Satie Yokogawa-Dentista,"Av. Mutinga, 2238 - Sala 02 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3902-4293,0,-23.4857723,-46.746518599999995
Dentista Dr.Marcelo Pincelli Alves,"Av. Mutinga, 1606 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 3901-3125,0,-23.4844379,-46.7414008
Cl�nica Ana Crespi - Odontologia e Est�tica,"Av. Santa Mônica, 454 - Vila Pirituba, São Paulo - SP, 05171-000",(11) 3902-6121,http://ac-odontologia-e-estetica.negocio.site/,-23.4797947,-46.7476128
Dra. Meire Lucia Prati,"Av. Mutinga, 1582 - Sala 02 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3906-0114,0,-23.484473899999998,-46.741181399999995
Dra. Biajira B. S de Lima - Dentista,"Av. Mutinga, 2281 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3904-5856,0,-23.486156899999997,-46.7467478
Dentz Pirituba - Cl�nica Odontol�gica,"Av. Mutinga, 260 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 99845-8372,http://www.rededentz.com.br/pirituba,-23.4885526,-46.7294589
Consult�rio Odontol�gico Dra Cristiane Dias,"Av. Mutinga, 2354 - sala 4 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 2362-8803,0,-23.486358,-46.747527999999996
Sorridents Cl�nica Odontol�gica,"Av. Mutinga, 2266 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 3904-5261,https://sorridents.com.br/parque-sao-domingos/,-23.4858749,-46.7467725
Dr. Fernando Lima Macambyra - Dentista,"Av. Mutinga, 1533 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 2831-7710,0,-23.4851319,-46.7411436
IMPLANTES KOHAMA,"R. Jurubim, 53 - Pirituba, São Paulo - SP, 05170-100",(11) 97389-1218,0,-23.4853112,-46.746243299999996
RDA Odontologia Especializada,"Av. Mutinga, 585 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 3906-6011,http://rdaodontologia.com.br/,-23.4882514,-46.732651999999995
Dr.Marcos Kengi Ito-Dentista,"Av. Mutinga, 2575 - Sala 01 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3906-9557,0,-23.488358899999998,-46.7483593
Dentista em Pirituba,"Av. do Anastácio, 1789 - Sobreloja - City América, São Paulo - SP, 05119-000",(11) 94779-1900,http://www.leonardopaiao.com.br/,-23.4932868,-46.737471500000005
Dentista Dra. Sueli Dias - Odontologia Integrada,"R. Arcangélica, 95 - Sala 06 - Vila Pirituba, São Paulo - SP, 02945-020",(11) 97738-0377,https://suelidiasodonto.negocio.site/,-23.4860977,-46.726942
Hospital da Pr�tese Dent�ria - Cl�nica de Especialidades Odontol�gicas,"Av. Santa Mônica, 644 sobreloja - Jardim Santa Monica, São Paulo - SP, 05171-000",(11) 3904-7318,http://www.hospitaldaprotesedentaria.com.br/,-23.4780722,-46.747665
Dra. Mary Schweitzer Gomes,"Av. Mutinga, 2281 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3904-5856,0,-23.4862055,-46.7467463
Kikuti Odontologia,"Av. Mutinga, 661 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 3904-6768,https://kikutiodontologia.business.site/,-23.4882921,-46.733474
Odontologia Guion & Palaoro,"Av: Mutinga, 1249 - Sala 05 - Vila Mangalot, São Paulo - SP, 05110-000",(11) 3906-0591,https://www.facebook.com/odontologiaguionpalaoro/,-23.4865322,-46.738732899999995
Cl�nica Odontol�gica Fujiy,"Av. Raimundo Pereira de Magalhães, 3678 - Vila Pirituba, São Paulo - SP, 05145-200",(11) 3832-2504,0,-23.4951117,-46.7300075
Dentista Pirituba,"Av. Benedito Andrade, 450 - Pirituba, São Paulo - SP, 02936-000",(11) 3977-7335,https://sorridents.com.br/pirituba/,-23.4873521,-46.71630520000001
Cl�nica Dent�ria Pirituba (Dr. Neylor Marques),"Av. Benedito Andrade, 114 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3974-3676,0,-23.4881149,-46.719521
OdontoCompany Pirituba,"Av. Paula Ferreira, 2885 - Vila Pirituba, São Paulo - SP, 02915-100",(11) 3978-1550,http://www.odontocompany.com/,-23.4889427,-46.719616099999996
Dra.Vanessa Baena Ascencio-Dentista,"Av. Mutinga, 2665 - Sala 02 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3901-0078,0,-23.4888537,-46.7490394
seu dentista em pirituba,"Av. Santa Mônica - Jardim Santa Monica, São Paulo - SP, 02244-000",(11) 99188-6546,https://seu-dentista-em-pirituba.negocio.site/,-23.4781442,-46.7478924
Dra C�tia Menezes,"Av. Agenor Couto de Magalhães, 222 - Jardim Regina, São Paulo - SP, 05174-000",(11) 98762-3434,http://instagram.com/vanefelicio,-23.4826464,-46.7396277
Queens Odonto Cl�nica Odontologica Em Pirituba,"Rua Brigadeiro Henrique Fontenelle, 824 - Parque Sao Domingos, São Paulo - SP, 05125-001",(11) 4564-9854,http://www.queensodonto.com.br/,-23.5003301,-46.7389687
Dra. Maura Garcia Tomiatti,"Av. Mutinga, 1719 - Sala 4 - Vila Zulmira, São Paulo - SP, 05110-000",(11) 2872-1666,0,-23.484544,-46.7424032
Odontologia,"Avenida Mutinga, São Paulo - SP CEP 05154-000, São Paulo - SP, 05154-000",0,0,-23.4879398,-46.7346979
Dr. Fabricio Baccia Molina-Dentista,"Av. Mutinga, 184 - Sala 3 , Apartamento 3 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 3904-8504,0,-23.4884125,-46.7288492
Dentista Consult�rio Dr. Gustavo Orlow,"Av. Santa Mônica, 700 - Sobreloja - Jardim Santa Monica, São Paulo - SP, 05171-000",(11) 2157-8611,https://m.facebook.com/dr.gustavoorlow/,-23.4776348,-46.747899499999995
Dra. Veronica Paz diaz pimentel - Dentista,"Av. Benedito Andrade, 642 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3992-4279,http://www.odontopimentel.com.br/,-23.4875121,-46.714594399999996
Dra. Luana Vital Pessoa,"Pirituba, R. Adalberto Kurt, 71 - Jardim Libano, São Paulo - SP, 05138-040",(11) 99359-5333,https://dra-luana-vital-pessoa.negocio.site/,-23.4875905,-46.730512999999995
Dr Ricardo Dias de Oliveira - Dentista,"Av. Paula Ferreira, 2476 - Vila Pirituba, São Paulo - SP, 02935-050",(11) 3998-8311,-23.490370199999997,-23.490370199999997,-46.715880899999995
Dr. Eduardo Possa da Agua,"Av. Mutinga, 3150 – 1º andar - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3977-9964,0,-23.4920854,-46.751316599999996
Dr. Edgard dos Santos Pimentel- Dentista,"Av. Benedito Andrade, 642 - Vila Pirituba, São Paulo - SP, 02936-000",(11) 3992-4279,http://www.odontopimentel.com.br/,-23.487465,-46.7145613
Odonto Kelles,"Av. Benedito Andrade, 510 - Pirituba, São Paulo - SP, 01414-002",(11) 3992-4467,http://odontokelles.com.br/,-23.4873205,-46.7158781
Cl�nica Odontologica Dra. Magali H. Hiramoto-Dentista,"Av. Paula Ferreira, 2678C - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3977-0082,0,-23.4893763,-46.7175522
Luiz Neto Odontologia Integrada,"Av. Mutinga, 1709 - Vila Zulmira, São Paulo - SP, 05110-000",(11) 91147-5249,https://www.luiznetoodontologia.com.br/,-23.484455399999998,-46.742428
Dr. Hilton Gomes Ferreira,"Av. Mutinga, 1582 - Sala 2 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3906-0114,-23.484473899999998,-23.484473899999998,-46.741181399999995
Dr. Tatsuo Noguchi - Dentista,"Av. Paula Ferreira, 2954 - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3975-0060,0,-23.4883535,-46.720065399999996
Odonto Extra,"Av. Mutinga, 215 - Vila Pirituba, São Paulo - SP, 05154-000",0,0,-23.488855599999997,-46.7293057
Dr Edegar Takeshita-Dentista,"Av. Paula Ferreira, 2678 C - Vila Pirituba, São Paulo - SP, 02916-000",(11) 3992-3873,0,-23.4893215,-46.717517799999996
Consultorio Odontologico Dra. Marcia Teruya,"Av. Paula Ferreira, 3081 - sala03 - Vila Pirituba, São Paulo - SP, 02915-100",(11) 3972-5619,https://consultorio-odontologico-dra-marcia-teruya.negocio.site/?utm_source=gmb&utm_medium=referral,-23.4883526,-46.721115499999996
Consultório odontologico,"Av. Mutinga, 1914 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3904-2133,0,-23.4841889,-46.744108
Dr. Fábio Saigh - Dentista,"Av. Mutinga, 2050 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 98997-7609,0,-23.4847624,-46.7450301
Dentista Pirituba,"Av. Santa Mônica, 644 - Jardim Santa Monica, São Paulo - SP, 05171-000",(11) 3903-8205,0,-23.47808,-46.74771579999999
Clínica E.R.M Odontologia,"R. Maria Lúcia Duarte, 98 - Vila Pirituba, São Paulo - SP, 05172-000",(11) 3906-6539,0,-23.4831513,-46.7417484
Odontologia Dra. Iara Regina Passos Toledo,"Av. Mutinga, 1451 - Sala 02 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3902-4293,0,-23.4854996,-46.7404754
Dra.Daniela Satie Yokogawa-Dentista,"Av. Mutinga, 2238 - Sala 02 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 2369-3894,0,-23.4857723,-46.74651859999999
Estrela Cadente Odontologia Integrada,"Av. Agenor Couto de Magalhães, 71 - Jardim Regina, São Paulo - SP, 02675-031",(11) 99845-8372,0,-23.4844989,-46.740873
Dentz Pirituba - Clínica Odontológica,"Av. Mutinga, 260 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 3901-3125,0,-23.4885526,-46.7294589
Dentista Dr.Marcelo Pincelli Alves,"Av. Mutinga, 1606 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 2362-8803,0,-23.4844379,-46.7414008
Consultório Odontológico Dra Cristiane Dias,"Av. Mutinga, 2354 - sala 4 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 3904-2133,0,-23.4863555,-46.74753949999999
IMPLANTES KOHAMA,"R. Jurubim, 53 - Pirituba, São Paulo - SP, 05170-100",(11) 97389-1218,0,-23.4853164,-46.7462453
Sorridents Clínica Odontológica,"Av. Mutinga, 2266 - Jardim Santo Elias, São Paulo - SP, 05110-000",(11) 3904-5261,0,-23.485926,-46.7467427
Dra. Biajira B. S de Lima - Dentista,"Av. Mutinga, 2281 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 3904-5856,0,-23.4861842,-46.74672839999999
Dr. Fernando Lima Macambyra - Dentista,"Av. Mutinga, 1533 - Vila Pirituba, São Paulo - SP, 05110-000",(11) 2831-7710,0,-23.4850827,-46.7410869
RDA Odontologia Especializada,"Av. Mutinga, 585 - Vila Pirituba, São Paulo - SP, 05154-000",(11) 3906-6011,0,-23.4882362,-46.7326511
Dentista Dra. Sueli Dias - Odontologia Integrada,"R. Arcangélica, 95 - Sala 06 - Vila Pirituba, São Paulo - SP, 02945-020",(11) 97738-0377,0,-23.48617269999999,-46.72686719999999
